signal_type,entry_time,entry_price,exit_price,exit_reason,hold_hours,pnl_pct,pnl_actual
sell_3_original,2026-03-21 22:20:00,66290.0,67947.25,stop_loss,24.0,-2.5,-0.375
buy_3_original,2026-03-21 23:00:00,65585.5,68367.36,timeout,24.0,4.241577787773213,0.636236668165982
sell_3_original,2026-03-21 23:20:00,66042.24,67693.296,stop_loss,24.0,-2.499999999999995,-0.3749999999999993
buy_3_original,2026-03-21 23:55:00,65817.44,67859.0,timeout,24.0,3.1018526396651063,0.46527789594976593
sell_3_original,2026-03-22 00:25:00,66180.09,67834.59224999999,stop_loss,24.0,-2.499999999999986,-0.37499999999999784
buy_3_original,2026-03-22 00:45:00,66045.39,67764.3,timeout,24.0,2.602619198705623,0.3903928798058434
sell_3_original,2026-03-22 01:20:00,66139.99,67793.48975,stop_loss,24.0,-2.499999999999982,-0.3749999999999973
buy_3_original,2026-03-22 01:45:00,65920.0,67955.99,timeout,24.0,3.088577063106804,0.4632865594660206
sell_3_original,2026-03-22 02:35:00,66473.75,68135.59375,stop_loss,24.0,-2.5,-0.375
buy_3_original,2026-03-22 03:10:00,66293.35,68244.8,timeout,24.0,2.943658753102682,0.4415488129654023
sell_3_original,2026-03-22 07:00:00,66500.0,68162.5,stop_loss,24.0,-2.5,-0.375
buy_3_original,2026-03-22 07:25:00,66347.08,67810.17,timeout,24.0,2.2052063180474506,0.3307809477071176
sell_3_original,2026-03-22 07:55:00,66487.69,68149.88225,stop_loss,24.0,-2.499999999999989,-0.37499999999999833
buy_3_original,2026-03-22 09:25:00,66294.84,68256.73,timeout,24.0,2.9593404252880005,0.44390106379320005
sell_3_original,2026-03-22 10:05:00,66411.79,68072.08475,stop_loss,24.0,-2.5000000000000013,-0.37500000000000017
buy_3_original,2026-03-22 10:35:00,66124.4,68330.75,timeout,24.0,3.336665436661816,0.5004998154992724
sell_3_original,2026-03-22 10:55:00,66294.33,67951.68824999999,stop_loss,24.0,-2.4999999999999853,-0.3749999999999978
buy_3_original,2026-03-22 11:35:00,66205.75,70672.89,timeout,24.0,6.7473595571381635,1.0121039335707245
